=== REKAPITULASI ASAL PROVINSI ===
No,Provinsi,Jumlah Santri,Persentase
1,JAWA BARAT,16,42.1%
2,DKI JAKARTA,7,18.4%
3,JAWA TENGAH,3,7.9%
4,NUSA TENGGARA TIMUR,3,7.9%
5,BANTEN,3,7.9%
6,SUMATERA SELATAN,2,5.3%
7,SULAWESI SELATAN,1,2.6%
8,GORONTALO,1,2.6%
9,KEPULAUAN BANGKA BELITUNG,1,2.6%
10,NUSA TENGGARA BARAT,1,2.6%

=== REKAPITULASI ASAL KABUPATEN/KOTA ===
No,Kabupaten/Kota,Jumlah Santri
1,KABUPATEN BOGOR (JAWA BARAT),6
2,KABUPATEN SUKABUMI (JAWA BARAT),5
3,KOTA JAKARTA BARAT (DKI JAKARTA),3
4,KABUPATEN KUNINGAN (JAWA BARAT),3
5,KOTA SEMARANG (JAWA TENGAH),2
6,KABUPATEN FLORES TIMUR (NUSA TENGGARA TIMUR),2
7,KOTA DEPOK (JAWA BARAT),2
8,KOTA JAKARTA TIMUR (DKI JAKARTA),2
9,KOTA MAKASSAR (SULAWESI SELATAN),1
10,KABUPATEN LEMBATA (NUSA TENGGARA TIMUR),1
11,KOTA SERANG (BANTEN),1
12,KABUPATEN GORONTALO (GORONTALO),1
13,KOTA JAKARTA UTARA (DKI JAKARTA),1
14,KABUPATEN TANGERANG (BANTEN),1
15,KOTA CILEGON (BANTEN),1
16,KABUPATEN BANGKA (KEPULAUAN BANGKA BELITUNG),1
17,KABUPATEN LOMBOK TENGAH (NUSA TENGGARA BARAT),1
18,KABUPATEN PURBALINGGA (JAWA TENGAH),1
19,KABUPATEN OGAN KOMERING ULU SELATAN (SUMATERA SELATAN),1
20,KABUPATEN BANYU ASIN (SUMATERA SELATAN),1
21,KOTA JAKARTA SELATAN (DKI JAKARTA),1

=== REKAPITULASI ASAL SEKOLAH ===
No,Asal Sekolah,Kabupaten,Provinsi,Jumlah
1,SD Buqatun Mubarakah,KOTA MAKASSAR,SULAWESI SELATAN,1
2,SDIT Ad-Da'wah,KABUPATEN SUKABUMI,JAWA BARAT,1
3,PKBM BANGUN BANGSA,KOTA SEMARANG,JAWA TENGAH,1
4,MTsN 3 LEMBATA,KABUPATEN LEMBATA,NUSA TENGGARA TIMUR,1
5,Pondok Pesantren Al Imam Al Islami,KABUPATEN FLORES TIMUR,NUSA TENGGARA TIMUR,1
6,SDIT IQRA KOTA SERANG,KOTA SERANG,BANTEN,1
7,SDN 2 Gorontalo,KABUPATEN GORONTALO,GORONTALO,1
8,Sdn kedung waringin 0500,KABUPATEN BOGOR,JAWA BARAT,1
9,SDN sindangkerta,KABUPATEN SUKABUMI,JAWA BARAT,1
10,SMPIT IHYA AS-SUNNAH TASIKMALAYA,KOTA JAKARTA BARAT,DKI JAKARTA,1
11,AN NAJAH,KOTA JAKARTA UTARA,DKI JAKARTA,1
12,RAUDHATUL MUHIBBIN,KABUPATEN BOGOR,JAWA BARAT,1
13,Cahaya Sunnah,KOTA JAKARTA BARAT,DKI JAKARTA,1
14,SD Negeri Folangkai,KABUPATEN SUKABUMI,JAWA BARAT,1
15,SDN GUNUNG ACI,KABUPATEN KUNINGAN,JAWA BARAT,1
16,Ponpes Imam Syafi'i Panongan,KABUPATEN TANGERANG,BANTEN,1
17,PKPPS Wustho Pondok Pesantren Ibnu Abbas As Salafy Sragen,KOTA CILEGON,BANTEN,1
18,SDN 2 Karangtawang (20212838) & PKBM Al-Hidayah (P2970311),KABUPATEN KUNINGAN,JAWA BARAT,1
19,Pondok Pesantren Ibnu Abbas,KABUPATEN BOGOR,JAWA BARAT,1
20,MTA AT Tauhid Pangkalpinang,KABUPATEN BANGKA,KEPULAUAN BANGKA BELITUNG,1
21,PKBM ARRISALAH LOMBOK,KABUPATEN LOMBOK TENGAH,NUSA TENGGARA BARAT,1
22,PONPES AL MANSHUROH,KABUPATEN PURBALINGGA,JAWA TENGAH,1
23,SDN muara beres,KABUPATEN BOGOR,JAWA BARAT,1
24,SDN Meruya Utara 10 Pagi,KOTA JAKARTA BARAT,DKI JAKARTA,1
25,SMP tahfidz alfitrah 2,KABUPATEN BOGOR,JAWA BARAT,1
26,MIN 1 FLORES TIMUR,KABUPATEN FLORES TIMUR,NUSA TENGGARA TIMUR,1
27,SDN Muara Beres,KABUPATEN BOGOR,JAWA BARAT,1
28,SMP Muhammadiyah 4 Depok,KOTA DEPOK,JAWA BARAT,1
29,Al Andalus Al Imam,KABUPATEN SUKABUMI,JAWA BARAT,1
30,SD Al Irsyad Al Islamiyyah,KOTA DEPOK,JAWA BARAT,1
31,PKBM Wacana Mulya,KOTA SEMARANG,JAWA TENGAH,1
32,SDN 1 CIMARANTEN,KABUPATEN KUNINGAN,JAWA BARAT,1
33,PONDOK PESANTREN AL - ISHLAH JONGGOL,KOTA JAKARTA TIMUR,DKI JAKARTA,1
34,SMPIT AL INSAN TAUHUD SCHOOL,KABUPATEN SUKABUMI,JAWA BARAT,1
35,SMPN 1 Muaradua,KABUPATEN OGAN KOMERING ULU SELATAN,SUMATERA SELATAN,1
36,Pondok Al Ishlah,KOTA JAKARTA TIMUR,DKI JAKARTA,1
37,Adziqro,KABUPATEN BANYU ASIN,SUMATERA SELATAN,1
38,MI Saadatudarain,KOTA JAKARTA SELATAN,DKI JAKARTA,1
